MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitued,StreetAddress,City,County,State,Location,Missing,Link
30434,,Robert W. Cole Building,7003 North 58th Avenue,Built 1919,,City of Glendale,33.5389,-112.18358,7003 North 58th Avenue,Glendale,Maricopa County,Arizona,"Marker is on North 58th Avenue north of West Glendale Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=30434
30435,,Hine Building,5757 West Glendale Avenue,Built 1913 – Addition 1919,,City of Glendale,33.53845,-112.18357,5757 West Glendale Avenue,Glendale,Maricopa County,Arizona,"Marker is at the intersection of West Glendale Avenue and North 58th Avenue, on the right when traveling east on West Glendale Avenue. ",,http://www.hmdb.org/m.asp?m=30435
30436,,Sine Building,5747 West Glendale Avenue,Built 1926,,City of Glendale,33.53845,-112.18342,5747 West Glendale Avenue,Glendale,Maricopa County,Arizona,"Marker is on West Glendale Avenue east of North 58th Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=30436
30437,,Humphrey and Davidson Building,5819 West Glendale Avenue,Built 1895,,City of Glendale,33.53845,-112.18465,5819 West Glendale Avenue,Glendale,Maricopa County,Arizona,"Marker is on West Glendale Avenue east of North 58th Drive, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=30437
30438,,C. L. Gillett Block/Glendale State Bank Building,5825 West Glendale Avenue,Built 1909,,City of Glendale,33.53845,-112.18477,5825 West Glendale Avenue,Glendale,Maricopa County,Arizona,"Marker is on West Glendale Avenue east of North 58th Drive, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=30438
30439,,Coury Building,6835 N. 58th Drive,Built 1940,,City of Glendale,33.5382,-112.18485,6835 North 58th Drive,Glendale,Maricopa County,Arizona,"Marker is on North 58th Drive south of West Glendale Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=30439
30440,,Sine Brothers Hardware Building,6329 North 58th Drive,Built 1912,,City of Glendale,33.538,-112.18485,6329 North 58th Drive,Glendale,Maricopa County,Arizona,"Marker is on North 58th Drive south of West Glendale Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=30440
30473,,Glendale's Towering Flagstaff,,,,,33.53895,-112.18435,,Glendale,Maricopa County,Arizona,Marker can be reached from West Glendale Avenue. ,,http://www.hmdb.org/m.asp?m=30473
30474,,Glendale Business District,Developed 1896 – 1921,,,City of Glendale,33.53975,-112.18358,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of West Glenn Drive and North 58th Avenue, on the right when traveling east on West Glenn Drive. ",,http://www.hmdb.org/m.asp?m=30474
30475,,Methodist Episcopal Church of Glendale Sanctuary,Built 1920 -1928,"Dedicated February 3, 1929",,,33.54032,-112.18512,7102 North 58th Drive,Glendale,Maricopa County,Arizona,"Marker is on North 58th Drive north of West Glenn Drive, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=30475
30476,,Catlin Court Historic District,National Register of Historic Places,"Listed June 9, 1992",,,33.54118,-112.18505,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of North 58th Drive and West Palmaire Avenue, on the left when traveling north on North 58th Drive. ",,http://www.hmdb.org/m.asp?m=30476
30477,,Glendale Townsite,Catlin Court Historic District,,,,33.54115,-112.18378,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of North 58th Avenue and West Palmaire Avenue, on the left when traveling north on North 58th Avenue. ",,http://www.hmdb.org/m.asp?m=30477
30478,,Glendale Woman's Club Clubhouse,Built 1913,,,,33.53967,-112.18012,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of West Glenn Drive and North 56th Avenue, on the right when traveling east on West Glenn Drive. ",,http://www.hmdb.org/m.asp?m=30478
30480,,C. H. Tinker House,Built 1913,,,,33.53828,-112.1878,6838 North 59th Drive,Glendale,Maricopa County,Arizona,"Marker is on North 59th Drive south of West Glendale Avenue, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=30480
30481,,Glendale High School Auditorium,,,,,33.53881,-112.19424,6216 West Glendale Avenue,Glendale,Maricopa County,Arizona,"Marker is on West Glendale Avenue east of North 63rd Avenue, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=30481
30495,,Morcomb's Service Station and House,Built 1930 and 1936,,,,33.54237,-112.19019,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of West Myrtle Avenue and Grand Avenue, on the right when traveling west on West Myrtle Avenue. ",,http://www.hmdb.org/m.asp?m=30495
30496,,Floralcroft Historic District,Platted 1928,,,,33.54305,-112.18638,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of West Northview Avenue and North 59th Avenue, on the right when traveling east on West Northview Avenue. ",,http://www.hmdb.org/m.asp?m=30496
30498,,59th Avenue Residential Historic District,,,,,33.54598,-112.18631,,Glendale,Maricopa County,Arizona,"Marker is at the intersection of North 59th Avenue and West Orangewood Avenue, on the left when traveling north on North 59th Avenue. ",,http://www.hmdb.org/m.asp?m=30498
30500,,Manistee Ranch,,,,,33.55153,-112.17007,5127 West Northern Avenue,Glendale,Maricopa County,Arizona,Marker can be reached from North 51st Avenue. ,,http://www.hmdb.org/m.asp?m=30500
30613,,Colossal Cave Mountain Park,,,,,32.0622,-110.63385,16721 East Old Spanish Trail,Vail,Pima County,Arizona,Marker can be reached from East Old Spanish Trail. ,,http://www.hmdb.org/m.asp?m=30613
30614,,The CCC Worker,Camp SP-10-A,Colossal Cave Mountain Park 1934 – 1937,2008,"Gerald Johnson, CCC Alumnus and CCC Legacy Chapter 44",32.06208,-110.63365,16721 East Old Spanish Trail,Vail,Pima County,Arizona,Marker can be reached from East Old Spanish Trail. ,,http://www.hmdb.org/m.asp?m=30614
30759,,The City of Ajo,,,,,32.37232,-112.86255,111 La Mina Avenue,Ajo,Pima County,Arizona,"Marker is on La Mina Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=30759
30802,,The Ajo Mining District,,,,,32.37232,-112.86255,111 La Mina Avenue,Ajo,Pima County,Arizona,"Marker is on La Mina Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=30802
31188,41,Ehrenberg Cemetery,,,1989,E Clampus Vitus Lost Dutchman Chapter 5917,33.6053,-114.524,,Ehrenberg,La Paz County,Arizona,Marker is on Ehrenberg Poston Highway north of Interstate 10. ,,http://www.hmdb.org/m.asp?m=31188
31190,2,Red Rock Post Office,,,1989,"E Clampus Vitus, Lost Dutchman Chapter 5917 and the Aguirre Family",32.5814,-111.33082,22187 East Cam Correo,Red Rock,Pinal County,Arizona,"Marker is on East Cam Correo south of Interstate 10, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=31190
31199,,"U.S.S. Arizona 1916 - Wilber L. ""Bill"" Bower U of A Outstanding Achievement Awards",,,2002,USS Arizona Reunion Association and the Arizona Student Unions,32.23213,-110.95233,,Tucson,Pima County,Arizona,Marker can be reached from East University Boulevard. ,,http://www.hmdb.org/m.asp?m=31199
31524,,St. Philip's in the Hills,,,,,32.28788,-110.94332,4400 North Campbell Avenue,Tucson,Pima County,Arizona,"Marker can be reached from North Campbell Avenue north of East River Road, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=31524
31525,,The Tucson Plant Materials Center,,,,,32.26627,-111.00378,3241 North Romero Road,Tucson,Pima County,Arizona,"Marker can be reached from North Romero Road south of West Higgins Lane, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=31525
31526,,Historic Fourth Avenue Underpass,Constructed 1916 – Demolished in 2008,,,,32.22382,-110.96575,,Tucson,Pima County,Arizona,"Marker is at the intersection of North Fourth Avenue and East 9th Street, on the right when traveling south on North Fourth Avenue. ",,http://www.hmdb.org/m.asp?m=31526
31527,,Fourth Avenue Underpass,Constructed 2009,,,,32.22382,-110.96575,,Tucson,Pima County,Arizona,"Marker is at the intersection of North Fourth Avenue and East 9th Street, on the right when traveling south on North Fourth Avenue. ",,http://www.hmdb.org/m.asp?m=31527
31530,,The Manning House,,,,,32.22318,-110.9787,9 West Paseo Redondo,Tucson,Pima County,Arizona,Marker can be reached from West Paseo Redondo. ,,http://www.hmdb.org/m.asp?m=31530
31548,,Hugo O'Conor,,,1998,"Citizens of Tucson, Arizona",32.22337,-110.97848,9 West Paseo Redondo,Tucson,Pima County,Arizona,Marker can be reached from West Paseo Redondo. ,,http://www.hmdb.org/m.asp?m=31548
31552,,Bagdad Copper Mine,,,1991,"Lost Dutchman Chapter 5917, E Clampus Vitus",34.5741,-113.1801,,Bagdad,Yavapai County,Arizona,"Marker is on Main Street (State Highway 96E) 4.5 miles north of State Highway 97N, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=31552
31821,,Harrisburg,,,,La Paz County Historical Commission,33.73967,-113.54188,,Salome,La Paz County,Arizona,"Marker is on Salome Road, 5 miles south of U.S. 60, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=31821
31823,,McMullen Valley 9/11 Memorial,,,2004,The Citizens of McMullen Valley,33.78075,-113.61563,66710 Avenue A (US-60),Salome,La Paz County,Arizona,"Marker is on U.S. 60, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=31823
31824,,Salome,"""Where She Danced""",,1965,"Arizona Development Board, Arizona Highway Department",33.7797,-113.61719,66597 Avenue A (US-60),Salome,La Paz County,Arizona,"Marker is on U.S. 60 east of Center Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=31824
31827,,Pioneer Cemetery,,,,La Paz County Historical Commission,33.60573,-114.52376,,Ehrenberg,La Paz County,Arizona,"Marker is on Ehrenberg Poston Highway, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=31827
31839,,James A. Wheeler Park and Freedom Fountain,15-Dec-65,,1965,The Citizens of Lake Havasu City,34.47759,-114.3384,,Lake Havasu City,Mohave County,Arizona,"Marker is on North McCoulloch Boulevard east of Capri Boulevard, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=31839
31841,,City Founders,"Lake Havasu City, Arizona",,,,34.47269,-114.3463,,Lake Havasu City,Mohave County,Arizona,"Marker is on McCulloch Blvd., 0.1 miles south of Arizona Route 95, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=31841
31843,,British – American Friendship,,,1997,"Havasu Chapter, National Society Daughters of the American Revolution",34.47284,-114.34611,,Lake Havasu City,Mohave County,Arizona,"Marker is on McCulloch Boulevard, 0.1 miles south of Arizona Route 95, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=31843
31845,,Chloride,"""Oldest Silver Mining Town in Arizona""",,1996,"Lost Dutchman Chapter 5917, E Clampus Vitus",35.41325,-114.19927,,Chloride,Mohave County,Arizona,"Marker is on 2nd Street, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=31845
31880,,White Hills,,,,,35.70018,-114.47415,,Kingman,Mohave County,Arizona,"Marker is at the intersection of County Route 145 and U.S. 93, on the right when traveling east on County Route 145. ",,http://www.hmdb.org/m.asp?m=31880
31903,,Oatman,,,,,34.96782,-114.59745,,Mohave Valley,Mohave County,Arizona,"Marker is at the intersection of County Route 153 and Arizona Route 95, on the right when traveling east on County Route 153. ",,http://www.hmdb.org/m.asp?m=31903
32201,,The Last Camp of Hi Jolly,"Camel Driver, Packer, Scout",,1935,Arizona Highway Department,33.6644,-114.2367,,Quartzsite,La Paz County,Arizona,Marker can be reached from Cemetery Street (Business U.S. 10) 0.1 miles north of West Main Street (U.S. 95) when traveling north. ,,http://www.hmdb.org/m.asp?m=32201
32206,,Beale Wagon Road,"Seligman, Arizona",,1993,"Lost Dutchman Ch. 5917, E Clampus Vitus",35.32657,-112.87533,,Seligman,Yavapai County,Arizona,"Marker is at the intersection of Chino Street (Arizona Route 66) and Main Street, on the right when traveling east on Chino Street. ",,http://www.hmdb.org/m.asp?m=32206
32207,,Old Fort Mohave,,,,,35.17744,-114.56569,2201 Highway 68,Bullhead City,Mohave County,Arizona,Marker can be reached from State Highway 68. ,,http://www.hmdb.org/m.asp?m=32207
32208,,Lt. Edward Fitzgerald Beale,1822 - 1893,,,,35.18998,-114.06047,,Kingman,Mohave County,Arizona,Marker can be reached from Andy Devine Road (Business Interstate 40) near Grandview Avenue. ,,http://www.hmdb.org/m.asp?m=32208
32258,,Poston Memorial Monument,,,1992,"Colorado River Indian Tribes, Former Internees of Poston, Veterans and Friends of the Fiftieth Year Observance of the Evacuation and Internment.",33.98764,-114.40121,,Parker,La Paz County,Arizona,"Marker is on Mohave Road, 11.7 miles south of Arizona Route 95, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=32258
32393,,Rittenhouse Elementary School,,,2003,The Lost Dutchman Chapter - E Clampus Vitus,33.26273,-111.63445,20435 South Ellsworth Road,Queen Creek,Maricopa County,Arizona,Marker can be reached from South Ellsworth Road south of East Queen Creek Road. ,,http://www.hmdb.org/m.asp?m=32393
32394,,Granville H. Oury,,,1999,The Lost Dutchman Chapter of The Ancient and Honorable Order of E Clampus Vitus,33.02415,-111.4086,,Florence,Pinal County,Arizona,"Marker can be reached from East Adamsville Road, 1.2 miles west of South Main Street. ",,http://www.hmdb.org/m.asp?m=32394
32438,,Those Who Are Gone,,,,National Park Service,33.00205,-111.52358,,Coolidge,Pinal County,Arizona,"Marker is at the intersection of Arizona Route 87 and Arizona Route 287, on the right when traveling north on State Route 87. ",,http://www.hmdb.org/m.asp?m=32438
32439,,Huffman House,1919,Historic Site,1999,Town of Florence and Arizona Historical Society,33.0312,-111.38287,421 East Butte Avenue,Florence,Pinal County,Arizona,"Marker is on East Butte Avenue east of North Park Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=32439
32440,,Camp Florence,,,2009,Florence Gardens History Committee,33.07468,-111.3803,,Florence,Pinal County,Arizona,"Marker is at the intersection of North Illinois Street and Arizona Boulevard, on the left when traveling north on North Illinois Street. ",,http://www.hmdb.org/m.asp?m=32440
32722,,Sunset Crossing,,,,Navajo County Historical Society and Arizona Historical Society,35.01484,-110.67906,,Winslow,Navajo County,Arizona,"Marker is on East Second Street/Old Route 66 (Arizona Route 66), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=32722
32781,,The Winslow Bridge,,,,,35.01551,-110.67976,,Winslow,Navajo County,Arizona,"Marker is on 2nd Street (Arizona Route 66), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=32781
32787,,La Posada Hotel,- 1930 -,,,,35.0214,-110.69503,303 East 2nd Street,Winslow,Navajo County,Arizona,Marker can be reached from East 2nd Street / Old U.S. Route 66 Eastbound (Arizona Route 66) west of Interstate 40. ,,http://www.hmdb.org/m.asp?m=32787
32844,,Honoring Native American Women Veterans,,,2003,"Ira Hayes American Legion Post 84, Sacaton, AZ",33.08047,-111.74501,190 West Pima Street,Sacaton,Pinal County,Arizona,"Memorial is at the intersection of Sacaton Road (Arizona Route 87) and Casa Blanca Road, on the right when traveling east on Sacaton Road. ",,http://www.hmdb.org/m.asp?m=32844
32845,,Dedicated to Ira H. Hayes USMC,,,1992,In Country Vietnam Veterans and Ira H. Hayes American Legion Post 84,33.08075,-111.74543,190 West Pima Street,Sacaton,Pinal County,Arizona,"Memorial is at the intersection of Sacaton Road (Arizona Route 87) and Sacaton-Casa Blanca Road, on the right when traveling east on Sacaton Road. ",,http://www.hmdb.org/m.asp?m=32845
32903,8,Arizona Pioneers' Home,,,1992,Lost Dutchman Chapter 5917 E Clampus Vitus,34.53765,-112.47372,300 South McCormick Street,Prescott,Yavapai County,Arizona,Marker can be reached from McCormick Street. ,,http://www.hmdb.org/m.asp?m=32903
32956,,First Pinal County Courthouse,Historic Site,,1984,McFarland Historic State Park Advisory Committee and Arizona Historical Society,33.03605,-111.38773,24 West Ruggles Avenue,Florence,Pinal County,Arizona,<font color=red> Reported missing.</font>,Reported Missing,http://www.hmdb.org/m.asp?m=32956
33042,,Welcome to Prescott,,,,"Rotary Club of Prescott, Prescott Frontier Rotary Club, Prescott Sunup Rotary Club",34.48824,-112.50134,,Prescott,Yavapai County,Arizona,"Marker is on Arizona Route 89 at milepost 306, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=33042
33043,,Malvina Lode Claim,Mineral Survey No. 4158,,,"Lost Dutchman Chapter 5917, E Clampus Vitus",34.42744,-112.5836,,Kirkland,Yavapai County,Arizona,"Marker is on Arizona Route 89 at milepost 295, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=33043
33046,,Kirkland Bar and Steakhouse,"Kirkland, Arizona",,2002,"Barbara and Herb Carabeo, Owners and the Lost Dutchman Chapter 5917 4 - E Clampus Vitus",34.41736,-112.70927,,Kirkland,Yavapai County,Arizona,"Marker is on Skull Valley - Kirkland Road, 0.1 miles north of Kirkland Road, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=33046
33047,,Arizona Pioneers' Home,,,,,34.53751,-112.47395,300 South McCormick Street,Prescott,Yavapai County,Arizona,Marker can be reached from South McCormick Street. ,,http://www.hmdb.org/m.asp?m=33047
33049,,Lincoln School,,,,City of Prescott,34.54062,-112.47739,201 Park Avenue,Prescott,Yavapai County,Arizona,"Marker is on Park Avenue near Coronado Avenue, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=33049
33051,,Pauline Weaver,Truly a Great Man,,,,34.54173,-112.47375,415 West Gurley Street,Prescott,Yavapai County,Arizona,Marker can be reached from West Gurley Street. ,,http://www.hmdb.org/m.asp?m=33051
33052,,Pauline Weaver,1800 – 1867,Historic Site,,The Arizona Bank and The Arizona Historical Society,34.54185,-112.47221,,Prescott,Yavapai County,Arizona,"Marker is on West Gurley Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33052
33059,,Historic Site of Orchard Ranch,Home of Sharlot Mabridth Hall,(1870-1943),,,34.56868,-112.2694,11250 East State Route 69,Dewey,Yavapai County,Arizona,Marker can be reached from Windmill Drive near State Route 69. ,,http://www.hmdb.org/m.asp?m=33059
33062,,Site of Curtis Hall/,Curtis Duplex & Curtis Cottages,,,City of Prescott,34.54091,-112.4729,125 South McCormick Street,Prescott,Yavapai County,Arizona,"Marker is on South McCormick Street south of Beach Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=33062
33064,,Granite Creek,,,,The City of Prescott,34.54184,-112.47221,321 West Gurley Street,Prescott,Yavapai County,Arizona,Marker is on West Gurley Street. ,,http://www.hmdb.org/m.asp?m=33064
33065,,Hotel St. Michael,,,,The Historic Preservation Fund and the City of Prescott,34.54163,-112.4702,106A South Montezuma Street.,Prescott,Yavapai County,Arizona,"Marker is on South Montezuma Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=33065
33090,,City Jail and Firehouse,,,,Historic Preservation Fund and the City of Prescott,34.53984,-112.46959,117 West Goodwin Street,Prescott,Yavapai County,Arizona,"Marker is on West Goodwin Street west of South Cortez Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33090
33092,,Site of Howey's Hall,,,,Historic Preservation Fund and the City of Prescott,34.53971,-112.4685,201 South Cortez Street,Prescott,Yavapai County,Arizona,"Marker can be reached from South Cortez Street south of East Goodwin Street (Arizona Route 89), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=33092
33094,,Washington School,,,,City of Prescott,34.54198,-112.46531,300 East Gurley Street,Prescott,Yavapai County,Arizona,"Marker is on East Gurley Street east of South Alarcon Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=33094
33095,,Prescott High School and the Yavapai Club,,,,City of Prescott,34.54171,-112.46604,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of East Gurley Street and South Alarcon Street, on the right when traveling east on East Gurley Street. ",,http://www.hmdb.org/m.asp?m=33095
33133,,The Ehle Family and the Montezuma Hotel,,,,The City of Prescott and Ehle Family Descendants,34.54409,-112.47024,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of North Montezuma Street and West Willis Street, on the left when traveling north on North Montezuma Street. ",,http://www.hmdb.org/m.asp?m=33133
33135,,Hardyville Site,,,,,35.12117,-114.5882,1751 Highway 95,Bullhead City,Mohave County,Arizona,"Marker is on Arizona Route 95 near Colina Drive, on the right when traveling south. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=33135
33136,,Prescott National Guard Armory,,,,City of Prescott,34.54211,-112.45851,824 East Gurley Street,Prescott,Yavapai County,Arizona,Marker can be reached from East Gurley Street east of North Arizona Avenue. ,,http://www.hmdb.org/m.asp?m=33136
33137,,Grace M. Sparkes,1893 – 1963,,,City of Prescott,34.54216,-112.45852,824 East Gurley Street,Prescott,Yavapai County,Arizona,Marker can be reached from East Gurley Street east of North Arizona Avenue. ,,http://www.hmdb.org/m.asp?m=33137
33138,,The Day Octagon,,,,by the City of Prescott,34.54198,-112.46678,212 East Gurley Street,Prescott,Yavapai County,Arizona,"Marker is on East Gurley Street east of South Marina Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=33138
33141,,Grand Army of the Republic Memorial,"Tombstone, Arizona",,1887,"Burnside Post, Grand Army of the Republic",31.716,-110.078,445 West Allen Street,Tombstone,Cochise County,Arizona,Marker can be reached from West Allen Street. ,,http://www.hmdb.org/m.asp?m=33141
33145,,Jerome Town Hall,,,,The Jerome Historical Society Plaque Project,34.75073,-112.11592,303 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33145
33147,,Jerome Blast Furnace,,,1988,Jerome Historical Society,34.75065,-112.11599,303 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33147
33149,,"Jerome, Arizona",Too Strong to Die,,1995,"Lost Dutchman Chapter 5917, E Clampus Vitus",34.7508,-112.11596,208 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33149
33150,,Reese and Amster Garage,,,,The Jerome Historical Society Plaque Project,34.75143,-112.11691,111 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33150
33151,,New State Motor Building,,,,The Jerome Historical Society Plaque Project,34.75164,-112.11681,116 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=33151
33152,,Jennie's Place,,,,The Jerome Historical Society Plaque Project,34.75146,-112.11657,136 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=33152
33154,,Husband's Alley,,,,The Jerome Historical Society,34.7513,-112.11662,154 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=33154
33155,,Hotel Connor,,,,The Jerome Historical Society,34.75119,-112.11629,166 Main Street,Jerome,Yavapai County,Arizona,"Marker is at the intersection of Main Street (Arizona Route 89A) and Jerome Avenue, on the left when traveling east on Main Street. ",,http://www.hmdb.org/m.asp?m=33155
33157,,Mine Museum/Fashion Saloon,,,,The Jerome Historical Society Plaque Project,34.75098,-112.11609,202 Main Street,Jerome,Yavapai County,Arizona,"Marker is at the intersection of Main Street (Arizona Route 89A) and Jerome Avenue, on the left when traveling east on Main Street. ",,http://www.hmdb.org/m.asp?m=33157
33163,,Whitten Printers,,,,The Jerome Historical Society Plaque Project,34.75107,-112.11609,,Jerome,Yavapai County,Arizona,"Marker is at the intersection of Jerome Avenue and Main Street (Arizona Route 89A), on the left when traveling south on Jerome Avenue. ",,http://www.hmdb.org/m.asp?m=33163
33164,,Paul and Jerry's Saloon,,,,The Jerome Historical Society Plaque Project,34.7509,-112.11607,206 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=33164
33165,,The Saloon,,,,The Jerome Historical Society Plaque Project,34.75086,-112.11597,208 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (U.S. 89A), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=33165
33166,,Bartlett Hotel,,,,The Jerome Historical Society,34.75082,-112.11593,,Jerome,Yavapai County,Arizona,"Marker is at the intersection of Main Street (Arizona Route 89A) and First Avenue, on the left when traveling east on Main Street. ",,http://www.hmdb.org/m.asp?m=33166
33189,,Laura Williams Memorial Park,,,,The Jerome Historical Society Plaque Project,34.75004,-112.11531,363 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33189
33190,,Sullivan Apartments,,,,The Jerome Historical Society Plaque Project,34.75007,-112.1152,367 Main Street,Jerome,Yavapai County,Arizona,"Marker is on Main Street (Arizona Route 89A), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33190
33191,,Main Street Primary School,,,,The Jerome Historical Society Plaque Project,34.74896,-112.11261,,Jerome,Yavapai County,Arizona,"Marker is at the intersection of Main Street (Arizona Route 89A) and Verde Avenue, on the left when traveling east on Main Street. ",,http://www.hmdb.org/m.asp?m=33191
33192,,The Gibson Market,,,,The Jerome Historical Society Plaque Project,34.74734,-112.11167,681 Hampshire Avenue,Jerome,Yavapai County,Arizona,"Marker is on Hampshire Avenue near Upper Gulch Road, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=33192
33199,,United Verde Copper Company Smelter,,,2001,"Town of Clarkdale & Lost Dutchman Chapter 5917 – 4, Ancient and Honorable Order of E Clampus Vitus",34.77243,-112.05788,,Clarkdale,Yavapai County,Arizona,"Marker is at the intersection of 1st N Street and North 9th Street, on the right when traveling west on 1st N Street. ",,http://www.hmdb.org/m.asp?m=33199
33200,,Clark Memorial Clubhouse,"Placed on the National Register of Historic Places on October 29, 1982",,,City of Clarkdale,34.77205,-112.05661,39 North Ninth Street,Clarkdale,Yavapai County,Arizona,Marker can be reached from North Ninth Street north of Main Street. ,,http://www.hmdb.org/m.asp?m=33200
33202,No. 12,"The Hart Store, 1926",,,,City of Sedona,34.86427,-111.76506,100 Brewer Road,Sedona,Coconino County,Arizona,"Marker is at the intersection of Brewer Road and Ranger Road, on the left when traveling south on Brewer Road. ",,http://www.hmdb.org/m.asp?m=33202
33203,,Indian Gardens,Homesite of the First Settler in Oak Creek Canyon,,1965,"Arizona Development Board, Arizona Highway Department",34.9102,-111.72849,,Sedona,Coconino County,Arizona,"Marker is on Arizona Route 89A at milepost 378 south of Old Indian Road, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=33203
33266,,Donahue Building,1888,,,"Jake & Meryl Horine, Richard & Sherry Mangum and the Main Street Foundation",35.19746,-111.64829,22 East Route 66,Flagstaff,Coconino County,Arizona,"Marker is on East Route 66 west of South San Francisco Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=33266
33267,,Aubineau / Andreatos Building,1893/1952,,,"Wong & Kong, Richard and Sherry Mangum and the Main Street Foundation",35.19749,-111.64855,16 East Route 66,Flagstaff,Coconino County,Arizona,"Marker is on East Route 66, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=33267
33268,,Coconino Chop House,1898,,,"Doug & Fran Jackson, Richard & Sherry Mangum and the Main Street Foundation",35.19755,-111.64874,10 East Route 66,Flagstaff,Coconino County,Arizona,"Marker is on East Route 66, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=33268
33271,,McMillan Building,1887,,,"Fleming Brothers, Richard & Sherry Mangum and the Main Street Foundation",35.19772,-111.64929,2 West Route 66,Flagstaff,Coconino County,Arizona,"Marker is at the intersection of West Route 66 and North Leroux Street, on the right when traveling west on West Route 66. ",,http://www.hmdb.org/m.asp?m=33271
